Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_7139880e		Si la raiz de cuarenta y nueve es... 	game/script.rpy	29	"[what]"
start_18d6cc27		¡Dylan!	game/script.rpy	30	"[what]"
start_3542a630		¿...?	game/script.rpy	31	"[what]"
start_e624f5a0		...Sería...¿6?	game/script.rpy	32	"[what]"
start_5eb2e08e		¡DYLAN!	game/script.rpy	33	"[what]"
start_f840ae04		...Entonces la raiz de kuɐtro...	game/script.rpy	34	"[what]"
start_5b54f82d		¿Dylan?	game/script.rpy	38	"[what]"
start_ad2da4e1	d	¡Ya voy!	game/script.rpy	49	d "[what]"
start_22c1539b	d	¿Ahora que querrá mamá que haga? Ella sabe que estoy estudiando...	game/script.rpy	50	d "[what]"
start_0353268b	m	¡DYLAN!	game/script.rpy	51	m "[what]"
start_69bad912	d	¡En camino!	game/script.rpy	52	d "[what]"
start_f14ea150	m	Necesito que me vayas a hacer un mandado, hijo.	game/script.rpy	62	m "[what]"
start_0abca201		Te sientes incomodado por la solicitud. 	game/script.rpy	67	"[what]"
start_e2433522	d	...Claro ma.	game/script.rpy	68	d "[what]"
start_dfd80849	d	¿Que necesitas?	game/script.rpy	69	d "[what]"
start_52674798	m	Necesito que vayas al súper, y me consigas salsa de tomate con mostaza dulce.	game/script.rpy	71	m "[what]"
start_3c562feb	m	No la confundas, la necesito para hacer la comida.	game/script.rpy	72	m "[what]"
start_cc102f0f	d	..bueno.	game/script.rpy	74	d "[what]"
start_f0381e38	d	Enseguida vengo.	game/script.rpy	75	d "[what]"
start_9fcc67fb		Después de una corta caminata, llegas al supermercado.	game/script.rpy	81	"[what]"
start_a080f505		Nunca te gusta salir a caminar, hay mucho ruido y tantas personas te ponen nervioso;	game/script.rpy	82	"[what]"
start_71f65ce2		Pero hoy la tarde se veía especialmente magnífica, pero no sabías con certeza porqué.	game/script.rpy	83	"[what]"
start_5dae0836		Al entrar al supermercado, te topaste con un póster de cine en una de las paredes.	game/script.rpy	86	"[what]"
start_ccbfa454		Parecía una peli clásica, de las que normalmente ves..	game/script.rpy	87	"[what]"
start_020b60d0		Querías verla, pero no podías entender el nombre...	game/script.rpy	88	"[what]"
start_4298f1bb	d	¿Qué dice el póster?	game/script.rpy	90	d "[what]"
start_5220a6ee		Decidiste que, cuando tuvieras tiempo, buscarías si realmente se llamaba así.	game/script.rpy	93	"[what]"
start_7ad65e45		Algo no cuadraba en el nombre de la peli, pero buscarías más tarde de igual manera.	game/script.rpy	96	"[what]"
start_3ae1e73f		Entras al súpermercado, y llegas directamente al pasillo de los aderezos.	game/script.rpy	100	"[what]"
start_9fce87a4		Ves dos recipientes de salsa.	game/script.rpy	101	"[what]"
start_ae3d54c7	d	¿Cuál fue la salsa que pidió mamá?	game/script.rpy	102	d "[what]"
start_f1d7e0ba	d	Esperemos que sea esta...	game/script.rpy	106	d "[what]"
start_f1d7e0ba_1	d	Esperemos que sea esta...	game/script.rpy	109	d "[what]"
start_74f913a9		Pagas por la salsa y regresas a casa.	game/script.rpy	110	"[what]"
start_6481ef08	d	¡Llegué mamá!	game/script.rpy	116	d "[what]"
start_1cfdcd26	m	Hola hijo, ¿conseguiste la salsa?	game/script.rpy	119	m "[what]"
start_25460c3f	d	Ah si, aqui está, ¿si era esta cierto?	game/script.rpy	120	d "[what]"
start_b5bdf92f	m	¡Bien! Te va a encantar la comida.	game/script.rpy	124	m "[what]"
